"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"DVCVaccineDetails","DVCVaccineDetails","","","",0,*,"","","","null {[]} {[]}
","DVC - Vaccine Details","Vaccine Data elements for the Digital Vaccination Certificates","","","","","","","","","",,,,,"",,,,"Base",0,*,"","must-have-issuer-or-clinician:Either issuer or clinicianName must be present {issuer.exists() or clinicianName.exists()}
period-from-until-must-be-present-and-valid:If period is present, both start and end must be present, and start must be before end {validity.start.exists() and (validity.end.exists() implies validity.start <= validity.end)}","n/a"
"DVCVaccineDetails.vaccine[x]","DVCVaccineDetails.vaccine[x]","","","",1,1,"","","","CodeableConcept {[]} {[]}
Reference {[]} {[]}","Vaccine or prophylaxis","Vaccine or prophylaxis product","","","","","","","","","",,,,,"http://smart.who.int/trust-phw/CodeSystem/ICVP.Core#ICVP.C5.DE.11
http://loinc.org#39236-5 (Vaccine code)http://snomed.info/sct#787859002 (Vaccine product (medicinal product))",,,,"DVCVaccineDetails.vaccine[x]",1,1,"",""
"DVCVaccineDetails.date","DVCVaccineDetails.date","","","",1,1,"","","","date {[]} {[]}
","Date","Date of vaccination","","","","","","","","","",,,,,"http://smart.who.int/trust-phw/CodeSystem/ICVP.Core#ICVP.C5.DE.13
http://loinc.org#30952-6 (Date and time of vaccination)",,,,"DVCVaccineDetails.date",1,1,"",""
"DVCVaccineDetails.issuer","DVCVaccineDetails.issuer","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Relevant authority responsible for issuing this certificate","Relevant authoring responsible for issuing the certificate, or for overseeing the administration center","","","","","","","","","",,,,,"http://smart.who.int/trust-phw/CodeSystem/ICVP.Core#ICVP.C5.DE.15
",,,,"DVCVaccineDetails.issuer",0,1,"",""
"DVCVaccineDetails.clinicianName","DVCVaccineDetails.clinicianName","","","",0,1,"","","","string {[]} {[]}
","Name of supervising clinician","Name of supervising clinician, of relevant authority responsible for issuing this certificate, or for overseeing the administering centre","","","","","","","","","",,,,,"http://smart.who.int/trust-phw/CodeSystem/ICVP.Core#ICVP.C5.DE.14
",,,,"DVCVaccineDetails.clinicianName",0,1,"",""
"DVCVaccineDetails.manufacturer","DVCVaccineDetails.manufacturer","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Manufacturer of vaccine or prophylaxis","Manufacturer of vaccine or prophylaxis","","","","","","","","","",,,,,"http://smart.who.int/trust-phw/CodeSystem/ICVP.Core#ICVP.C5.DE.16
http://loinc.org#30957-5 (Manufacturer name [Identifier] Vaccine)",,,,"DVCVaccineDetails.manufacturer",1,1,"",""
"DVCVaccineDetails.batchNo","DVCVaccineDetails.batchNo","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Batch No. of vaccine or prophylaxis","Batch No. of vaccine or prophylaxis","","","","","","","","","",,,,,"http://smart.who.int/trust-phw/CodeSystem/ICVP.Core#ICVP.C5.DE.17
http://loinc.org#30959-1 (Lot number [Identifier] Vaccine)",,,,"DVCVaccineDetails.batchNo",1,1,"",""
"DVCVaccineDetails.validity","DVCVaccineDetails.validity","","","",1,1,"","","","Period {[]} {[]}
","Certificate valid from... until...","Certificate valid from... until...","","","","","","","","","",,,,,"http://smart.who.int/trust-phw/CodeSystem/ICVP.Core#ICVP.D5.DE.20
http://smart.who.int/trust-phw/CodeSystem/ICVP.Core#ICVP.D5.DE.21",,,,"DVCVaccineDetails.validity",1,1,"",""
