"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"DVCMin","DVCMin","","","",0,*,"","","","null {[]} {[]}
","DVC HCERT Payload","Minimal DVC payload for use within an HCERT Payload","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"DVCMin.n","DVCMin.n","","","",1,1,"","","","string {[]} {[]}
","Name","Name","","","","","","","","","",,,,,"",,,,"DVCMin.n",1,1,"",""
"DVCMin.dob","DVCMin.dob","","","",1,1,"","","","date {[]} {[]}
","Date of birth","Date of birth","","","","","","","","","",,,,,"",,,,"DVCMin.dob",1,1,"",""
"DVCMin.s","DVCMin.s","","","",1,1,"","","","code {[]} {[]}
","Sex","Sex","","","","","","","","","",,"extensible","","http://hl7.org/fhir/administrative-gender","",,,,"DVCMin.s",1,1,"",""
"DVCMin.nt","DVCMin.nt","","","",1,1,"","","","code {[]} {[]}
","Nationality","Nationality","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/iso3166-1-3","",,,,"DVCMin.nt",1,1,"",""
"DVCMin.id","DVCMin.id","","","",0,1,"","","","string {[]} {[]}
","National Identification Document","National Identification Document","","","","","","","","","",,,,,"",,,,"DVCMin.id",0,1,"",""
"DVCMin.dt","DVCMin.dt","","","",0,1,"","","","code {[]} {[]}
","National ID Document Type","National ID Document Type","","","","","","","","","",,"extensible","","http://terminology.hl7.org/ValueSet/v2-0203","",,,,"DVCMin.dt",0,1,"",""
"DVCMin.gn","DVCMin.gn","","","",0,1,"","","","string {[]} {[]}
","Parent or Guardian Name","Parent or Guardian Name","","","","","","","","","",,,,,"",,,,"DVCMin.gn",0,1,"",""
"DVCMin.vx","DVCMin.vx","","","",1,1,"","","","http://smart.who.int/trust-phw/StructureDefinition/DVCMinVaccineDetails {[]} {[]}
","Vaccine Details","Vaccine Details","","","","","","","","","",,,,,"",,,,"DVCMin.vx",1,1,"",""
"DVCMin.v","DVCMin.v","","","",1,1,"","","","string {[]} {[]}
","Version","Version of the certificate template","","","","","","","","","",,,,,"",,,,"DVCMin.v",1,1,"",""
