"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"DVCVaccineDetails","DVCVaccineDetails","","","",0,*,"","","","null {[]} {[]}
","DVC - Vaccine Details","Vaccine Data elements for the Digital Vaccination Certificates","","","","","","","","","",,,,,"",,,,"Base",0,*,"","must-have-issuer-or-clinician:Either issuer or clinicianName must be present {issuer.exists() or clinicianName.exists()}
period-from-until-must-be-present-and-valid:If period is present, both start and end must be present, and start must be before end {validity.start.exists() and (validity.end.exists() implies validity.start <= validity.end)}","n/a"
"DVCVaccineDetails.vaccine","DVCVaccineDetails.vaccine","","","",1,1,"","","","CodeableReference {[]} {[]}
","Vaccine or prophylaxis","Vaccine or prophylaxis product","","","","","","","","","",,,,,"",,,,"DVCVaccineDetails.vaccine",1,1,"",""
"DVCVaccineDetails.date","DVCVaccineDetails.date","","","",1,1,"","","","date {[]} {[]}
","Date","Date of vaccination","","","","","","","","","",,,,,"",,,,"DVCVaccineDetails.date",1,1,"",""
"DVCVaccineDetails.issuer","DVCVaccineDetails.issuer","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Relevant authority responsible for issuing this certificate","Relevant authoring responsible for issuing the certificate, or for overseeing the administration center","","","","","","","","","",,,,,"",,,,"DVCVaccineDetails.issuer",0,1,"",""
"DVCVaccineDetails.clinicianName","DVCVaccineDetails.clinicianName","","","",0,1,"","","","string {[]} {[]}
","Name of supervising clinician","Name of supervising clinician, of relevant authority responsible for issuing this certificate, or for overseeing the administering centre","","","","","","","","","",,,,,"",,,,"DVCVaccineDetails.clinicianName",0,1,"",""
"DVCVaccineDetails.manufacturer","DVCVaccineDetails.manufacturer","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Manufacturer of vaccine or prophylaxis","Manufacturer of vaccine or prophylaxis","","","","","","","","","",,,,,"",,,,"DVCVaccineDetails.manufacturer",1,1,"",""
"DVCVaccineDetails.batchNo","DVCVaccineDetails.batchNo","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Batch No. of vaccine or prophylaxis","Batch No. of vaccine or prophylaxis","","","","","","","","","",,,,,"",,,,"DVCVaccineDetails.batchNo",1,1,"",""
"DVCVaccineDetails.validity","DVCVaccineDetails.validity","","","",1,1,"","","","Period {[]} {[]}
","Certificate valid from... until...","Certificate valid from... until...","","","","","","","","","",,,,,"",,,,"DVCVaccineDetails.validity",1,1,"",""
