URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://smart.who.int/trust-phw/ValueSet/DVCRelationshipStatus,0.1.0,draft,,DVCRelationshipStatus,Relationship Status for Contact in Patient,"Relationship Status for Contact in Patient",,"Internal"
http://smart.who.int/trust-phw/ValueSet/DVCVaccines,0.1.0,draft,,DVCVaccines,DVC - Vaccines,"This value set includes codes from ICD",,"hl7.terminology.r5"
http://smart.who.int/trust-phw/ValueSet/DisclosureStatements,0.1.0,draft,,DisclosureStatements,Disclosure Statements,"Disclosure Statements value set",,"Internal"
http://smart.who.int/trust-phw/ValueSet/HL.TYPE,0.1.0,active,,HL_TYPE,HL.TYPE ValueSet ,"ValueSet of HL Type Codes",,"Internal"
